Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM07_01725|03A-000_CHL_20|gene-6|-|3657-4760|complete	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	PARTIALP	368	404	82.18	99.70	332	WP_021038045.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NF000219.1	chloramphenicol/florfenicol efflux MFS transporter FloR
DLFM07_01750|03A-000_AMX_12|gene-1|+|87-989|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM07_01774|01Z-000_TET_12|gene-3|-|1166-2332|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.74	388	WP_024160783.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_01775|01Z-000_TET_11|gene-3|+|1147-2334|complete	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	396	395	100.00	99.49	395	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM07_01776|01Z-000_TET_10|gene-2|+|756-2030|complete	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	425	399	100.00	99.75	399	WP_001973670.1	tetracycline efflux MFS transporter Tet(A)	NF012193.0	tetracycline efflux MFS transporter Tet(A)
DLFM07_01777|01Z-000_PEN_1|gene-2|-|349-996|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALP	216	296	70.27	98.56	208	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM07_01779|01Z-000_CAZ_6|gene-3|+|791-1720|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	310	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM07_01781|01Z-000_CAZ_4|gene-2|+|407-1312|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	302	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM07_01783|01Z-000_CAZ_2|gene-4|+|2713-3633|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM07_01794|01Z-000_FEP_1|gene-1|-|104-994|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM07_01800|01Z-000_CHL_4|gene-2|+|573-1235|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	221	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_01802|01Z-000_CHL_2|gene-3|+|2658-3299|complete	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	214	NA	NA	NA	NA	NA	NA	NF000490.1	type B chloramphenicol O-acetyltransferase
DLFM07_01803|01Z-000_CHL_1|gene-2|-|1492-2121|complete	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	210	NA	NA	NA	NA	NA	NA	NF000490.1	type B chloramphenicol O-acetyltransferase
DLFM07_01812|01Z-000_AMX_4|gene-3|-|2491-3411|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM07_01814|01Z-000_AMX_2|gene-2|-|439-1359|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM07_01815|01Z-000_AMX_1|gene-4|+|1390-2283|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM07_01829|01Z-000_AMX_017|gene-1|-|99-989|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM07_01853|01X-000_TET_11|gene-2|+|895-2814|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	97.65	639	WP_044666383.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_01853|01X-000_TET_11|gene-3|+|2866-4104|complete	tet(40)	tetracycline efflux MFS transporter Tet(40)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	413	406	100.00	100.00	406	WP_024407615.1	tetracycline efflux MFS transporter Tet(40)	NF000049.1	tetracycline efflux MFS transporter Tet(40)
DLFM07_01864|01X-000_GEN_1|gene-1|-|44-1483|complete	aac(6')-Ie	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTP	480	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000507.1	aminoglycoside N-acetyltransferase AAC(6')-Ie
DLFM07_01864|01X-000_GEN_1|gene-1|-|44-1483|complete	aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	480	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000508.1	aminoglycoside O-phosphotransferase APH(2'')-Ia
DLFM07_01888|01X-000_CHL_9|gene-2|+|280-906|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	209	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_01891|01X-000_CHL_6|gene-3|-|400-1155|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	252	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_01929|01J-010_TGC_2|gene-4|+|2734-3537|complete	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	268	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
DLFM07_01931|01J-010_TET_8|gene-2|-|1213-2586|complete	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	458	458	98.47	98.67	451	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NF012185.0	tetracycline efflux MFS transporter Tet(L)
DLFM07_01937|01J-010_TET_2|gene-1|-|170-2089|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.22	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_01948|01J-010_PEN_03|gene-4|+|1395-2453|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	353	377	88.33	98.20	333	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_01973|01J-010_CAZ_01|gene-1|-|69-989|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM07_02000|01J-000_TET_13|gene-2|+|1135-3054|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM07_02000|01J-000_TET_13|gene-3|+|3152-4525|complete	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	458	458	98.47	98.45	451	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NF012185.0	tetracycline efflux MFS transporter Tet(L)
DLFM07_02002|01J-000_TET_11|gene-8|-|6018-6854|complete	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	279	278	100.00	99.64	278	WP_000480972.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
DLFM07_02016|01J-000_PEN_17|gene-2|-|454-1314|complete	blaLEN	class A beta-lactamase LEN-17	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	287	286	100.00	100.00	286	WP_039103359.1	class A beta-lactamase LEN-17	NF000233.2	LEN family class A beta-lactamase
DLFM07_02057|01J-000_AMX_22|gene-5|-|2244-3248|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	335	377	88.59	98.80	334	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02072|01I-012_TGC_3|gene-2|+|1735-2901|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.23	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_02077|01I-012_TET_7|gene-1|-|140-2059|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.37	639	WP_050618045.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02097|01I-012_CHL_7|gene-2|-|233-859|complete	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	209	207	100.00	97.10	207	WP_040564913.1	type A-13 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_02139|01G-005_TET_3|gene-2|+|841-2358|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	506	639	77.93	99.00	498	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02145|01G-005_CHL_1|gene-2|-|1014-1637|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_02146|01G-000_TET_9|gene-3|-|1216-3135|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	640	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM07_02153|01G-000_TET_2|gene-1|+|166-2085|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02157|01G-000_TET_10|gene-1|-|64-1983|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02159|01G-000-2_TET_7|gene-3|+|1040-2959|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02163|01G-000-2_TET_3|gene-3|+|1902-3068|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.48	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_02164|01G-000-2_TET_2|gene-3|+|1711-3630|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	93.27	639	WP_000691759.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02165|01G-000-2_TET_1|gene-3|+|1709-3628|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.90	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DLFM07_02174|01G-000_PEN_26|gene-5|+|1866-2999|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.14	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02192|01G-000_GEN_6|gene-1|+|109-969|complete	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	BLASTP	287	286	100.00	98.95	286	WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIa	NF033080.0	AAC(3)-II family aminoglycoside N-acetyltransferase
DLFM07_02216|01G-000_ATM_3|gene-2|+|1855-2745|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.32	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM07_02220|01G-000_AMX_7|gene-4|+|1374-2507|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.14	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02228|01G-000-2_AMX_3|gene-4|-|1534-2226|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	231	286	79.37	100.00	227	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
DLFM07_02229|01G-000-2_AMX_2|gene-5|-|1466-2191|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	242	377	63.93	97.51	241	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02233|01G-000_AMX_6|gene-6|-|2252-3385|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.88	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02246|01E-015_TGC_1|gene-1|+|331-1497|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	98.97	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_02249|01E-015_TET_7|gene-2|-|796-1962|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.48	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_02253|01E-015_TET_3|gene-2|-|923-2842|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	97.50	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02263|01E-015_TZP_2|gene-2|+|154-1320|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	389	377	100.00	98.41	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02267|01E-015_PEN_03|gene-6|-|1889-3022|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02284|01E-015_AMX_05|gene-5|+|1520-2653|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02285|01E-015_AMX_03|gene-4|-|1737-2645|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	EXACTP	303	296	100.00	100.00	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM07_02286|01E-015_AMX_01|gene-1|+|83-1228|complete	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	382	381	100.00	99.74	381	WP_063859734.1	class C beta-lactamase CMY-119	NF000191.1	CMY-2 family class C beta-lactamase
DLFM07_02291|01E-000_TET_6|gene-3|-|2617-3672|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	352	641	54.13	91.07	347	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM07_02301|01E-000_PEN_4|gene-2|-|524-1657|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.41	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02320|01E-000_AMX_8|gene-2|-|529-1260|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	244	377	64.46	97.94	243	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02333|01E-000_AMX_23|gene-2|-|647-1519|complete	blaOXY	OXY-2 family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	291	290	100.00	99.66	290	WP_017146441.1	class A extended-spectrum beta-lactamase OXY-2-7	NF000271.2	OXY family class A extended-spectrum beta-lactamase
DLFM07_02342|01E-000_AMX_15|gene-3|-|1406-2116|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	237	286	81.82	100.00	234	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
DLFM07_02353|01E-000-2_AMX_2|gene-3|+|725-1858|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.61	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02360|01E-000_AMX_08|gene-4|+|1124-2257|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.61	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02387|01D-013_TET_18|gene-1|-|148-2067|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02393|01D-013_TET_12|gene-2|+|1389-2555|complete	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	389	388	100.00	99.48	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
DLFM07_02396|01D-013_PIP_2|gene-1|+|56-916|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	287	286	100.00	99.65	286	WP_000027060.1	class A beta-lactamase TEM-181	NF000531.2	TEM family class A beta-lactamase
DLFM07_02398|01D-013_PIP_01|gene-4|-|1378-2511|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.67	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02401|01D-013_PEN_4|gene-5|+|1778-2911|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.94	377	WP_001336292.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02429|01D-013_AMX_08|gene-5|-|1501-2634|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	98.41	377	WP_063610930.1	class C extended-spectrum beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
DLFM07_02440|01C-014_TET_2|gene-2|-|218-2137|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	94.68	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02442|01C-014_TET_15|gene-2|+|853-2772|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.06	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02459|01C-014_CHL_7|gene-2|+|914-1537|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_02463|01C-014_CHL_3|gene-1|+|68-760|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	231	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM07_02482|01B-007_TET_10|gene-2|-|548-2467|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02493|01B-000_TET_7|gene-2|+|1357-3276|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02496|01B-000_TET_4|gene-3|+|1160-3079|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM07_02500|01B-000_TET_16|gene-1|+|295-1095|complete	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	267	266	100.00	99.25	266	WP_002682030.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	NF012223.0	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
DLFM07_02506|01B-000_TET_10|gene-5|-|1948-3867|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.06	639	WP_050232631.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
